"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell800"	"Cell800"	"Batch2"	"Group1"	46944.9818582039
"Cell801"	"Cell801"	"Batch2"	"Group1"	65606.4114759442
"Cell802"	"Cell802"	"Batch2"	"Group1"	54342.7075756366
"Cell803"	"Cell803"	"Batch2"	"Group1"	37012.5327600236
"Cell804"	"Cell804"	"Batch2"	"Group2"	68667.4842009159
"Cell805"	"Cell805"	"Batch2"	"Group1"	74534.6528958455
"Cell806"	"Cell806"	"Batch2"	"Group1"	65830.6914735284
"Cell807"	"Cell807"	"Batch2"	"Group2"	57688.6674411457
"Cell808"	"Cell808"	"Batch2"	"Group1"	45933.0576614934
"Cell809"	"Cell809"	"Batch2"	"Group2"	59289.8094607247
"Cell810"	"Cell810"	"Batch2"	"Group1"	76343.5628785168
"Cell811"	"Cell811"	"Batch2"	"Group1"	62231.6770707896
"Cell812"	"Cell812"	"Batch2"	"Group1"	72468.5679012634
"Cell813"	"Cell813"	"Batch2"	"Group1"	45803.694720664
"Cell814"	"Cell814"	"Batch2"	"Group1"	61840.0981137687
"Cell815"	"Cell815"	"Batch2"	"Group1"	51955.7819738228
"Cell816"	"Cell816"	"Batch2"	"Group1"	71319.3475372198
"Cell817"	"Cell817"	"Batch2"	"Group1"	38108.4231325444
"Cell818"	"Cell818"	"Batch2"	"Group1"	72442.8828524897
"Cell819"	"Cell819"	"Batch2"	"Group1"	44544.9705579418
"Cell820"	"Cell820"	"Batch2"	"Group1"	47812.7243139356
"Cell821"	"Cell821"	"Batch2"	"Group1"	47751.2906783938
"Cell822"	"Cell822"	"Batch2"	"Group1"	75087.4228164798
"Cell823"	"Cell823"	"Batch2"	"Group2"	56932.8011382606
"Cell824"	"Cell824"	"Batch2"	"Group1"	58194.6896987403
"Cell825"	"Cell825"	"Batch2"	"Group2"	65824.6893331828
"Cell826"	"Cell826"	"Batch2"	"Group2"	51281.6115425265
"Cell827"	"Cell827"	"Batch2"	"Group2"	73828.6067234089
"Cell828"	"Cell828"	"Batch2"	"Group1"	52744.1123293781
"Cell829"	"Cell829"	"Batch2"	"Group2"	50759.7710909131
"Cell830"	"Cell830"	"Batch2"	"Group1"	41283.1944807764
"Cell831"	"Cell831"	"Batch2"	"Group2"	50668.9406059803
"Cell832"	"Cell832"	"Batch2"	"Group1"	63641.191304612
"Cell833"	"Cell833"	"Batch2"	"Group1"	60685.9316853489
"Cell834"	"Cell834"	"Batch2"	"Group1"	45864.9181071094
"Cell835"	"Cell835"	"Batch2"	"Group1"	52945.800702342
"Cell836"	"Cell836"	"Batch2"	"Group2"	49999.9206175891
"Cell837"	"Cell837"	"Batch2"	"Group1"	66954.3101924481
"Cell838"	"Cell838"	"Batch2"	"Group2"	60571.1005167832
"Cell839"	"Cell839"	"Batch2"	"Group1"	48794.8337316035
"Cell840"	"Cell840"	"Batch2"	"Group1"	55971.9125823642
"Cell841"	"Cell841"	"Batch2"	"Group1"	86267.1242968197
"Cell842"	"Cell842"	"Batch2"	"Group1"	70998.538555414
"Cell843"	"Cell843"	"Batch2"	"Group1"	85013.4169651755
"Cell844"	"Cell844"	"Batch2"	"Group1"	73874.0173467615
"Cell845"	"Cell845"	"Batch2"	"Group1"	64196.7726989808
"Cell846"	"Cell846"	"Batch2"	"Group1"	43855.5378307088
"Cell847"	"Cell847"	"Batch2"	"Group1"	54486.0636737839
"Cell848"	"Cell848"	"Batch2"	"Group1"	55479.5444668103
"Cell849"	"Cell849"	"Batch2"	"Group1"	59774.0839158077
"Cell850"	"Cell850"	"Batch2"	"Group1"	56306.9828862381
"Cell851"	"Cell851"	"Batch2"	"Group1"	60871.7383880099
"Cell852"	"Cell852"	"Batch2"	"Group1"	58092.7756972488
"Cell853"	"Cell853"	"Batch2"	"Group2"	69852.1782810171
"Cell854"	"Cell854"	"Batch2"	"Group2"	71000.1458279185
"Cell855"	"Cell855"	"Batch2"	"Group1"	51821.9066962319
"Cell856"	"Cell856"	"Batch2"	"Group1"	58220.4423755158
"Cell857"	"Cell857"	"Batch2"	"Group1"	65124.6072216088
"Cell858"	"Cell858"	"Batch2"	"Group1"	63131.7626621183
"Cell859"	"Cell859"	"Batch2"	"Group1"	53288.647552923
"Cell860"	"Cell860"	"Batch2"	"Group1"	66571.1516951703
"Cell861"	"Cell861"	"Batch2"	"Group1"	48981.7186364785
"Cell862"	"Cell862"	"Batch2"	"Group1"	49275.9641021855
"Cell863"	"Cell863"	"Batch2"	"Group1"	73397.3849885594
"Cell864"	"Cell864"	"Batch2"	"Group1"	53032.7688572212
"Cell865"	"Cell865"	"Batch2"	"Group1"	74325.1422268003
"Cell866"	"Cell866"	"Batch2"	"Group2"	51479.0898040767
"Cell867"	"Cell867"	"Batch2"	"Group1"	38969.2506841774
"Cell868"	"Cell868"	"Batch2"	"Group2"	63372.6467285666
"Cell869"	"Cell869"	"Batch2"	"Group1"	58287.6370446487
"Cell870"	"Cell870"	"Batch2"	"Group2"	45650.3219401418
"Cell871"	"Cell871"	"Batch2"	"Group1"	39898.6095923098
"Cell872"	"Cell872"	"Batch2"	"Group2"	34641.284862362
"Cell873"	"Cell873"	"Batch2"	"Group2"	53932.8644942941
"Cell874"	"Cell874"	"Batch2"	"Group1"	38512.6481329701
"Cell875"	"Cell875"	"Batch2"	"Group1"	66421.1886960178
"Cell876"	"Cell876"	"Batch2"	"Group1"	56782.041925807
"Cell877"	"Cell877"	"Batch2"	"Group1"	45160.0675710353
"Cell878"	"Cell878"	"Batch2"	"Group1"	74793.7424106983
"Cell879"	"Cell879"	"Batch2"	"Group1"	43157.8204648904
"Cell880"	"Cell880"	"Batch2"	"Group1"	52220.1212218368
"Cell881"	"Cell881"	"Batch2"	"Group1"	56733.2491757551
"Cell882"	"Cell882"	"Batch2"	"Group2"	78065.0380292539
"Cell883"	"Cell883"	"Batch2"	"Group1"	53023.5367767547
"Cell884"	"Cell884"	"Batch2"	"Group1"	37007.9186062629
"Cell885"	"Cell885"	"Batch2"	"Group1"	68716.5271348453
"Cell886"	"Cell886"	"Batch2"	"Group1"	81811.8874312326
"Cell887"	"Cell887"	"Batch2"	"Group2"	40790.4239267253
"Cell888"	"Cell888"	"Batch2"	"Group2"	54977.2698948815
"Cell889"	"Cell889"	"Batch2"	"Group1"	67808.9395763541
"Cell890"	"Cell890"	"Batch2"	"Group1"	62808.2581708843
"Cell891"	"Cell891"	"Batch2"	"Group1"	68824.4905644869
"Cell892"	"Cell892"	"Batch2"	"Group1"	68959.9174066491
"Cell893"	"Cell893"	"Batch2"	"Group2"	75037.7780011188
"Cell894"	"Cell894"	"Batch2"	"Group1"	69148.6878645327
"Cell895"	"Cell895"	"Batch2"	"Group1"	54644.7080506577
"Cell896"	"Cell896"	"Batch2"	"Group1"	58553.5053448838
"Cell897"	"Cell897"	"Batch2"	"Group1"	61127.3813143752
"Cell898"	"Cell898"	"Batch2"	"Group1"	45994.7452346311
"Cell899"	"Cell899"	"Batch2"	"Group1"	54215.0928586273
"Cell900"	"Cell900"	"Batch2"	"Group2"	43223.2383931002
"Cell901"	"Cell901"	"Batch2"	"Group2"	82061.8599655958
"Cell902"	"Cell902"	"Batch2"	"Group1"	72942.909572925
"Cell903"	"Cell903"	"Batch2"	"Group2"	75375.0255475532
"Cell904"	"Cell904"	"Batch2"	"Group1"	45541.2930066298
"Cell905"	"Cell905"	"Batch2"	"Group2"	81464.248676534
"Cell906"	"Cell906"	"Batch2"	"Group1"	64316.2463888256
"Cell907"	"Cell907"	"Batch2"	"Group1"	38517.3067850311
"Cell908"	"Cell908"	"Batch2"	"Group2"	51086.5177241629
"Cell909"	"Cell909"	"Batch2"	"Group1"	59525.7695781343
"Cell910"	"Cell910"	"Batch2"	"Group1"	63140.2347090841
"Cell911"	"Cell911"	"Batch2"	"Group2"	53545.4880568497
"Cell912"	"Cell912"	"Batch2"	"Group1"	58244.0981142527
"Cell913"	"Cell913"	"Batch2"	"Group2"	55255.5240013785
"Cell914"	"Cell914"	"Batch2"	"Group1"	70371.2158141147
"Cell915"	"Cell915"	"Batch2"	"Group1"	62620.3038730228
"Cell916"	"Cell916"	"Batch2"	"Group1"	54932.0375846229
"Cell917"	"Cell917"	"Batch2"	"Group2"	79632.5777999411
"Cell918"	"Cell918"	"Batch2"	"Group2"	62544.4025811908
"Cell919"	"Cell919"	"Batch2"	"Group1"	70668.6018571986
"Cell920"	"Cell920"	"Batch2"	"Group1"	57319.5729095119
"Cell921"	"Cell921"	"Batch2"	"Group1"	45114.2226658777
"Cell922"	"Cell922"	"Batch2"	"Group1"	98527.2612516777
"Cell923"	"Cell923"	"Batch2"	"Group1"	61437.3239453182
"Cell924"	"Cell924"	"Batch2"	"Group1"	69759.7662916253
"Cell925"	"Cell925"	"Batch2"	"Group1"	49751.3241866324
"Cell926"	"Cell926"	"Batch2"	"Group1"	61452.0882669898
"Cell927"	"Cell927"	"Batch2"	"Group1"	52125.3835279021
"Cell928"	"Cell928"	"Batch2"	"Group1"	53480.3797897626
"Cell929"	"Cell929"	"Batch2"	"Group2"	54845.6505982238
"Cell930"	"Cell930"	"Batch2"	"Group1"	67906.8751856474
"Cell931"	"Cell931"	"Batch2"	"Group2"	81562.1565891145
"Cell932"	"Cell932"	"Batch2"	"Group1"	81412.1494672022
"Cell933"	"Cell933"	"Batch2"	"Group1"	46766.2365681656
"Cell934"	"Cell934"	"Batch2"	"Group2"	58334.1238313355
"Cell935"	"Cell935"	"Batch2"	"Group1"	54161.5540274732
"Cell936"	"Cell936"	"Batch2"	"Group1"	52196.1239490805
"Cell937"	"Cell937"	"Batch2"	"Group2"	67362.3111235806
"Cell938"	"Cell938"	"Batch2"	"Group2"	49548.6365932285
"Cell939"	"Cell939"	"Batch2"	"Group1"	67471.6084865116
"Cell940"	"Cell940"	"Batch2"	"Group1"	78188.484003808
"Cell941"	"Cell941"	"Batch2"	"Group1"	52674.7159196829
"Cell942"	"Cell942"	"Batch2"	"Group1"	56624.5856424186
"Cell943"	"Cell943"	"Batch2"	"Group2"	55443.677470327
"Cell944"	"Cell944"	"Batch2"	"Group1"	51943.5462668866
"Cell945"	"Cell945"	"Batch2"	"Group1"	75778.5785050155
"Cell946"	"Cell946"	"Batch2"	"Group2"	56858.6994595065
"Cell947"	"Cell947"	"Batch2"	"Group2"	48937.7388572429
"Cell948"	"Cell948"	"Batch2"	"Group1"	75329.2373867727
"Cell949"	"Cell949"	"Batch2"	"Group2"	91865.6645216684
"Cell950"	"Cell950"	"Batch2"	"Group2"	68424.8147605952
"Cell951"	"Cell951"	"Batch2"	"Group1"	61083.3660197145
"Cell952"	"Cell952"	"Batch2"	"Group2"	52061.4540998915
"Cell953"	"Cell953"	"Batch2"	"Group1"	64232.7273776398
"Cell954"	"Cell954"	"Batch2"	"Group2"	48040.8823113039
"Cell955"	"Cell955"	"Batch2"	"Group1"	52088.0775190562
"Cell956"	"Cell956"	"Batch2"	"Group2"	63692.3926497075
"Cell957"	"Cell957"	"Batch2"	"Group1"	60905.0012620347
"Cell958"	"Cell958"	"Batch2"	"Group1"	56785.4363605993
"Cell959"	"Cell959"	"Batch2"	"Group2"	52860.5907042885
"Cell960"	"Cell960"	"Batch2"	"Group2"	83168.0808800974
"Cell961"	"Cell961"	"Batch2"	"Group1"	80910.9772733241
"Cell962"	"Cell962"	"Batch2"	"Group2"	63506.1158078379
"Cell963"	"Cell963"	"Batch2"	"Group1"	75519.0153552119
"Cell964"	"Cell964"	"Batch2"	"Group1"	38323.4626146907
"Cell965"	"Cell965"	"Batch2"	"Group2"	52959.245470157
"Cell966"	"Cell966"	"Batch2"	"Group1"	57286.4252564497
"Cell967"	"Cell967"	"Batch2"	"Group1"	57070.636301853
"Cell968"	"Cell968"	"Batch2"	"Group1"	58175.0701771033
"Cell969"	"Cell969"	"Batch2"	"Group1"	47980.2482537381
"Cell970"	"Cell970"	"Batch2"	"Group1"	52117.8599553043
"Cell971"	"Cell971"	"Batch2"	"Group1"	45750.5763705185
"Cell972"	"Cell972"	"Batch2"	"Group1"	42835.0704397229
"Cell973"	"Cell973"	"Batch2"	"Group1"	73958.5532370785
"Cell974"	"Cell974"	"Batch2"	"Group1"	72516.590647471
"Cell975"	"Cell975"	"Batch2"	"Group1"	57931.7902253957
"Cell976"	"Cell976"	"Batch2"	"Group1"	58156.5566475813
"Cell977"	"Cell977"	"Batch2"	"Group2"	58922.747100643
"Cell978"	"Cell978"	"Batch2"	"Group1"	81070.4121034211
"Cell979"	"Cell979"	"Batch2"	"Group1"	75124.0088557302
"Cell980"	"Cell980"	"Batch2"	"Group2"	94335.6547951942
"Cell981"	"Cell981"	"Batch2"	"Group2"	56063.5877847244
"Cell982"	"Cell982"	"Batch2"	"Group1"	65683.4652716673
"Cell983"	"Cell983"	"Batch2"	"Group1"	63678.4926966341
"Cell984"	"Cell984"	"Batch2"	"Group1"	73175.4507719493
"Cell985"	"Cell985"	"Batch2"	"Group2"	65639.7158818362
"Cell986"	"Cell986"	"Batch2"	"Group1"	59236.9362430804
"Cell987"	"Cell987"	"Batch2"	"Group1"	55073.1587771037
"Cell988"	"Cell988"	"Batch2"	"Group1"	72679.6139733338
"Cell989"	"Cell989"	"Batch2"	"Group1"	63474.1948283167
"Cell990"	"Cell990"	"Batch2"	"Group1"	47422.5463893255
"Cell991"	"Cell991"	"Batch2"	"Group1"	75610.7260294304
"Cell992"	"Cell992"	"Batch2"	"Group1"	62600.5606553402
"Cell993"	"Cell993"	"Batch2"	"Group2"	52924.776408157
"Cell994"	"Cell994"	"Batch2"	"Group1"	63980.2045675527
"Cell995"	"Cell995"	"Batch2"	"Group1"	33813.6085953728
"Cell996"	"Cell996"	"Batch2"	"Group1"	85611.2795100146
"Cell997"	"Cell997"	"Batch2"	"Group2"	37285.7718977412
"Cell998"	"Cell998"	"Batch2"	"Group1"	72285.5774614042
"Cell999"	"Cell999"	"Batch2"	"Group1"	62935.8419657834
"Cell1000"	"Cell1000"	"Batch2"	"Group1"	68024.8098137348
"Cell1001"	"Cell1001"	"Batch2"	"Group2"	46868.5457618743
"Cell1002"	"Cell1002"	"Batch2"	"Group2"	92472.0461237718
"Cell1003"	"Cell1003"	"Batch2"	"Group1"	51137.6686243489
"Cell1004"	"Cell1004"	"Batch2"	"Group1"	64715.699097458
"Cell1005"	"Cell1005"	"Batch2"	"Group1"	49251.6144270918
"Cell1006"	"Cell1006"	"Batch2"	"Group1"	81985.2257797073
"Cell1007"	"Cell1007"	"Batch2"	"Group2"	62222.9816690085
"Cell1008"	"Cell1008"	"Batch2"	"Group2"	72314.9123685088
"Cell1009"	"Cell1009"	"Batch2"	"Group2"	83622.8165085831
"Cell1010"	"Cell1010"	"Batch2"	"Group2"	65420.2976018745
"Cell1011"	"Cell1011"	"Batch2"	"Group2"	51040.7919039627
"Cell1012"	"Cell1012"	"Batch2"	"Group1"	73893.494021566
"Cell1013"	"Cell1013"	"Batch2"	"Group2"	50305.8965910651
"Cell1014"	"Cell1014"	"Batch2"	"Group1"	52251.7685968497
"Cell1015"	"Cell1015"	"Batch2"	"Group1"	65360.4084397498
"Cell1016"	"Cell1016"	"Batch2"	"Group1"	54113.0674479013
"Cell1017"	"Cell1017"	"Batch2"	"Group2"	56080.5807087869
"Cell1018"	"Cell1018"	"Batch2"	"Group1"	54103.9354989875
"Cell1019"	"Cell1019"	"Batch2"	"Group1"	59627.0257291084
"Cell1020"	"Cell1020"	"Batch2"	"Group1"	81292.0169840158
"Cell1021"	"Cell1021"	"Batch2"	"Group2"	51125.8850822148
"Cell1022"	"Cell1022"	"Batch2"	"Group1"	63918.406029661
"Cell1023"	"Cell1023"	"Batch2"	"Group1"	52855.5114104414
"Cell1024"	"Cell1024"	"Batch2"	"Group1"	63051.9439587633
"Cell1025"	"Cell1025"	"Batch2"	"Group1"	82885.2725652558
"Cell1026"	"Cell1026"	"Batch2"	"Group1"	63818.6648884534
"Cell1027"	"Cell1027"	"Batch2"	"Group1"	55553.4763425062
"Cell1028"	"Cell1028"	"Batch2"	"Group1"	69541.3227840041
"Cell1029"	"Cell1029"	"Batch2"	"Group1"	62728.6767391001
"Cell1030"	"Cell1030"	"Batch2"	"Group1"	58788.0113827996
"Cell1031"	"Cell1031"	"Batch2"	"Group1"	44313.4097234224
"Cell1032"	"Cell1032"	"Batch2"	"Group2"	75085.7798387482
"Cell1033"	"Cell1033"	"Batch2"	"Group1"	65896.6017194374
"Cell1034"	"Cell1034"	"Batch2"	"Group1"	56431.3008334892
"Cell1035"	"Cell1035"	"Batch2"	"Group2"	52500.3871139308
"Cell1036"	"Cell1036"	"Batch2"	"Group1"	54211.0789292774
"Cell1037"	"Cell1037"	"Batch2"	"Group2"	59673.1419538314
"Cell1038"	"Cell1038"	"Batch2"	"Group1"	56137.5825872581
"Cell1039"	"Cell1039"	"Batch2"	"Group1"	54058.9619152551
"Cell1040"	"Cell1040"	"Batch2"	"Group2"	104270.435699475
"Cell1041"	"Cell1041"	"Batch2"	"Group1"	81351.4446754484
"Cell1042"	"Cell1042"	"Batch2"	"Group1"	57337.1303712074
"Cell1043"	"Cell1043"	"Batch2"	"Group1"	59102.4235764442
"Cell1044"	"Cell1044"	"Batch2"	"Group1"	74501.5942600015
"Cell1045"	"Cell1045"	"Batch2"	"Group2"	57950.8486314402
"Cell1046"	"Cell1046"	"Batch2"	"Group1"	74556.5843418981
"Cell1047"	"Cell1047"	"Batch2"	"Group1"	62827.5536248363
"Cell1048"	"Cell1048"	"Batch2"	"Group1"	58943.0999997347
"Cell1049"	"Cell1049"	"Batch2"	"Group1"	54323.0990016604
"Cell1050"	"Cell1050"	"Batch2"	"Group1"	59277.9192248929
